Coord X,Coord Y
73.7635296177274,31.78298262253262
57.31397222961573,94.16610730924074
42.81763854896489,51.72727447471387
52.54989566854764,98.04149799204448
27.459355472370202,27.878866485061103
70.77813147945054,50.81267012768708
39.001426060210854,27.533369111453876
87.86073275022585,12.839835389149833
40.054927099830216,29.920686454242954
63.49473099922511,46.39750485315044
90.74074522901599,13.50055869037449
35.88643489171898,33.8812958777069
49.60596692802472,86.46552499548132
56.285140725840314,94.02795802111754
42.78424124049085,48.45604391327283
43.699360612651326,95.83527314546676
78.1853867796869,33.80417534192622
67.51245441812543,49.776281391533075
84.6257133557034,28.981815269902185
74.59965446684353,51.08247177318566
25.389994342010766,47.09019905622271
78.55380063576204,13.191384670550386
24.787836063982734,50.28988505526185
71.0269666902291,30.666222562287064
35.52557826522194,23.220259732018665
49.64123643325848,99.23267307347116
61.42189161295334,43.830703521294105
65.15074865253284,49.51790800901024
81.94116624669245,41.68004024983354
83.51160237309304,10.813126236298478
28.49714596562956,40.93114406333174
27.556101489027597,43.52336320340874
78.79444921183706,46.910680012884626
55.43558283550551,91.94443744283376
39.78465162384681,32.653971169106875
53.85318146858521,95.46774885315895
40.16664935734428,41.637141393680814
63.46667453675476,35.89194024770271
35.92988409536548,57.34460928167056
44.633133414291954,88.23232622117949
88.75819725081585,30.347094262659308
81.64735273056385,29.449895330923198
45.7250909738633,98.07192721999202
76.01832778881104,18.22910110415195
37.653851669074925,23.391826013690345
52.091833646625716,100.16712802347293
45.44078245210006,92.4268572047654
94.89694078020072,24.364958451417003
48.06264025436018,86.90392493565493
34.240646191047915,34.936009243518065
42.90092387409131,45.5006423811075
79.06496401725015,35.63251714768074
79.88454142414997,28.19737785951796
32.436675176756786,38.59060905787832
38.231794417166476,33.09796893326676
33.05428731087213,22.20855420231881
25.467415000799054,51.06067604719661
46.72517079680293,86.77682835437886
62.02246544811439,39.212502355629155
76.25586982137379,27.032386439196305
