Coord X,Coord Y,Circulo
48.81946361921544,35.37101790095719,Circulo5
40.08673867436901,94.31593456605833,Circulo3
40.00458976395734,79.00644485903682,Circulo3
55.35105601972759,89.37922731643026,Circulo3
43.24057199774675,77.56154075251804,Circulo3
8.918857324031116,13.285223447658316,Circulo6
9.977643653217633,18.476589616183208,Circulo6
43.94435622224673,36.75082907125625,Circulo5
29.640489103706706,40.40888618312812,Circulo1
30.02521776534015,21.63415397781684,Circulo1
39.2825191071258,21.61347933168188,Circulo5
37.114813192132516,74.44377860381209,Circulo2
52.38379606395119,25.75091405315533,Circulo5
32.96399654792847,39.875607473760745,Circulo1
38.88296311034074,76.67683940840574,Circulo2
52.27891847724428,30.867025398413453,Circulo5
46.73593649978395,42.34384063253804,Circulo4
51.87471153847815,78.67826898104657,Circulo3
53.55636422618872,51.22502493643663,Circulo4
36.152780038930004,23.65137104563338,Circulo1
35.15620609244579,38.65256942256706,Circulo1
27.87285797882496,39.67438173169565,Circulo1
24.31890255978534,23.57385625073764,Circulo1
26.655602000520926,88.72040046174303,Circulo2
23.73343945801868,79.26192682821977,Circulo2
40.233814206349415,84.3960114001141,Circulo2
45.13823386922438,52.38625645575475,Circulo4
42.83089114126984,47.826387586722035,Circulo4
18.330788782449144,9.894185126928523,Circulo6
43.51141527033442,19.506337379857108,Circulo5
21.168671415016316,31.283019771159477,Circulo1
35.422476664603145,30.82086146014238,Circulo5
49.0981388194509,78.04155458028094,Circulo3
46.02867346454797,19.695761459190027,Circulo5
37.494088803340105,89.19345192569583,Circulo2
52.672105536383924,92.04304140785345,Circulo3
48.641391124805594,42.1238524825381,Circulo4
43.89113011564508,46.4038807765835,Circulo4
38.135744291251456,92.48015548206568,Circulo3
51.19350736443826,53.28849559362314,Circulo4
41.34412992651002,20.2593208882975,Circulo5
32.318808301955485,91.01744142048862,Circulo2
33.69360036076892,22.138723258441203,Circulo1
52.58570122777712,28.249472790362155,Circulo5
45.72886501698331,96.15473934571645,Circulo3
26.45947420208219,74.83265978607253,Circulo2
46.88460203900757,53.47594908349907,Circulo4
20.299213795549594,18.916861335884178,Circulo6
51.31245732695386,23.38013218739492,Circulo5
52.26747506851905,43.33237615045387,Circulo4
16.544768216315966,20.41505285574179,Circulo6
48.8458826359785,95.66328269416545,Circulo3
25.283101584288726,76.52927396869903,Circulo2
46.3061812403591,77.45923204690192,Circulo3
29.55328789158559,73.50700190083727,Circulo2
55.15197909834852,86.67855323059518,Circulo3
11.485946759532768,19.525571651690065,Circulo6
41.646692151146354,81.79198306961733,Circulo2
50.30901072483127,42.550868581154646,Circulo4
22.016349805868643,25.81939012685811,Circulo1
35.704965406411276,25.854860125907468,Circulo5
21.186004424074426,14.873467361809125,Circulo6
35.20417273813901,28.29780262225537,Circulo5
50.3178670824192,33.28471778958922,Circulo5
54.06752749006181,81.1082568485935,Circulo3
43.716218041010684,51.01533489928386,Circulo4
22.791842744359506,36.11074002927303,Circulo1
21.49859760222944,28.194383193599222,Circulo1
31.755525898559647,72.85804925534745,Circulo2
26.976132809528742,22.19184150582669,Circulo1
54.96971630290819,48.035845154587086,Circulo4
35.91868612643638,83.7068075635823,Circulo3
35.89223593644081,86.78392174806564,Circulo3
15.331097393483757,8.391638673251103,Circulo6
51.91902284210769,52.17694952953203,Circulo4
20.80934778172924,34.05285829412003,Circulo1
39.04914718078765,33.850623578229104,Circulo1
54.79188255381938,83.819015993326,Circulo3
18.630795225607848,19.788482660712333,Circulo6
49.35128938231051,21.853098937997608,Circulo5
8.432440630588054,17.146718715394563,Circulo6
24.33397344613838,38.59446497778553,Circulo1
10.393976451391772,11.064722265715783,Circulo6
40.82922493119443,36.74073666019313,Circulo5
